N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link Recursos
102,A102,Avanzado,4,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad de la planta,"La planta forma parte de una ""comunidad de práctica"" que le permite realizar una evaluación de cambio tecnológico, en conjunto con otras empresas de la industria a nivel territorial.",Acta de reuniones realizadas con la “comunidad de práctica”.,https://ciruelacertificada.cl/?s=A102&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
103,A103,Intermedio,3,Gestión,Viabilidad Económica,Gestionar la empresa para garantizar su viabilidad económica y financiera,"Quienes trabajan como directivos o son tomadores de decisiones, participan en instancias de capacitación que les permiten entender de mejor manera, el comportamiento del mercado de ciruelas deshidratadas.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A103&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
104,A104,Avanzado,4,Gestión,Viabilidad Económica,Gestionar la empresa para garantizar su viabilidad económica y financiera,"La planta desarrolla una visión empresarial y planifica y decide, en base a información robusta de índole económica y financiera.","Registro de planificación estratégica con una vigencia de máximo 5 años que contenga la siguiente información: - Diagnóstico que incorpore un FODA. - Plan de implementación en base a los resultados del FODA, (ventajas competitivas para potenciar fortalezas, evitar debilidades y enfrentar amenazas).",https://ciruelacertificada.cl/?s=A104&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
105,A105,Intermedio,3,Gestión,Viabilidad Económica,Fomentar que las personas tengan acceso a la información de productividad y mercado,"La planta capacita a las personas que trabajan en ella sobre estrategias de aumento de la productividad, para que puedan identificar los puntos críticos del proceso y conozcan las herramientas de optimización de la producción.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A105&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
106,A106,Avanzado,4,Gestión,Viabilidad Económica,Fomentar que las personas tengan acceso a la información de productividad y mercado,"La planta capacita sus directivos y tomadores de decisiones en finanzas, costos de producción y gestión del negocio agrícola.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A106&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
107,A107,Intermedio,3,Social,Comunidades Locales,Evaluar el impacto generado en las comunidades locales,"La planta identifica los potenciales impactos, positivos o negativos, generados en las comunidades vecinas.","Matriz de mapeo de actores con la identificación de los impactos generados. • Nombre de la organización/institución, actor • Representante o contraparte • Cargo • Contacto • Categoría de actor (empresa, comercio, residentes, servicios locales, etc.). • Ubicación geográfica en el territorio • Relaciones predominantes con la empresa • Nivel de afectación (positiva y negativa) de las operaciones la empresa",https://ciruelacertificada.cl/?s=A107&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
108,A108,Avanzado,4,Social,Comunidades Locales,Evaluar el impacto generado en las comunidades locales,La planta aplica medidas de mitigación para los impactos generados.,"Matriz con las medidas de mitigación de impactos generados que dé cuenta de: • Efecto. • Acción. • Objetivo (fortalecer, prevenir, mitigar). • Resultado esperado.",https://ciruelacertificada.cl/?s=A108&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
109,A109,Avanzado,4,Social,Comunidades Locales,Contribuir al desarrollo local,"La planta apoya con aportes pecuniarios y no pecuniarios, proyectos o iniciativas que abordan las necesidades y prioridades de la comunidad, con el fin de mejorar la calidad de vida de sus habitantes en temas como: educación, salud, capacitación, saneamiento, problemas ambientales, deporte, infraestructura comunitaria o pública, con acciones de RES u otras.","Son válidos cualquiera de los documentos que se proponen a continuación. * Portafolio de evidencia de las actividades realizadas, ej. proyectos realizados, imágenes, registros de convenios, canales de comunicación, minutas. * Documentos que evidencien el tipo de iniciativa, la fecha, la ubicación, los montos y/o las horas profesionales invertidas.",https://ciruelacertificada.cl/?s=A109&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
110,A110,Fundamental,5,Social,Comunidades Locales,Contribuir a la economía local,"La planta contribuye a la economía local, comprando los bienes y servicios, que no son claves para la producción (materia prima, ingredientes, envases o embalajes), a personas o empresas locales a nivel provincial. Por ejemplo: materiales de oficina, productos de aseo, alimentación, vestimenta, etc.",Son válidos algunos de los siguientes documentos: - Registro de documento tributario que acredite compras a empresas locales. - Existencia de contratos de compra con proveedores locales.,https://ciruelacertificada.cl/?s=A110&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
111,A111,Básico,2,Social,Comunidades Locales,Contribuir a la economía local,"La planta promueve la contratación de personas mediante la difusión de ofertas laborales a los habitantes de la misma provincia, ya sea de trabajo temporal o permanente.",Son válidos algunos de los siguientes documentos: * Registro de contratos laborales. * Registro de ofertas laborales en la OMIL local.,https://ciruelacertificada.cl/?s=A111&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
112,A112,Intermedio,3,Social,Comunidades Locales,Contribuir a la economía local,"La planta cuenta con, al menos, un 90% del personal contratado (de manera permanente) de la misma provincia.",Registro de contratos identificando a personas de la provincia.,https://ciruelacertificada.cl/?s=A112&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
113,A113,Fundamental,5,Social,Comunidades Locales,Mantener un sistema de comunicación efectivo con la comunidad,"La planta cuenta con canales de comunicación efectivos, para informar a las comunidades locales sobre la faena que podría impactar positiva o negativamente en el entorno o territorio, y otras actividades que se quieran comunicar.","Portafolio que registre los canales de comunicación con la comunidad, por ejemplo: acta de reuniones con la JJVV, anuncios en radios locales, publicaciones en el diario mural de la junta de vecinos, mensajes de WhatsApp, etc.",https://ciruelacertificada.cl/?s=A113&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
114,A114,Intermedio,3,Social,Comunidades Locales,Mantener un sistema de comunicación efectivo con la comunidad,"La planta dispone de un mecanismo de gestión de reclamos y sugerencias, a disposición de las comunidades locales, y además, mantiene un registro de las mismas y de cómo se han abordado.","Registros del libro de reclamos y sugerencias, además de las soluciones implementadas con: - Nombre - Fecha - Correo electrónico - Teléfono - Reclamo o sugerencia - Encargado de gestionar - Resolución. - Fecha resolución",https://ciruelacertificada.cl/?s=A114&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
115,A115,Avanzado,4,Social,Comunidades Locales,Mantener un sistema de comunicación efectivo con la comunidad,"La planta cuenta con una persona responsable de coordinar, planificar y ejecutar proyectos de relacionamiento comunitario.",Son válidos alguno de los siguientes documentos: * Identificación la persona encargada o responsable a través del organigrama o la descripción de cargos. * Convenio con la institución que realiza los trabajos comunitarios.,https://ciruelacertificada.cl/?s=A115&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
116,A116,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Disponer de instalaciones adecuadas y seguras de las personas que trabajan en la planta,"La planta provee a las personas que trabajan en ella, acceso a agua potable suficiente y segura, destinada al consumo humano.",Inspección visual de las instalaciones o dispositivos dispensadores de agua potable.,https://ciruelacertificada.cl/?s=A116&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
117,A117,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Disponer de instalaciones adecuadas y seguras de las personas que trabajan en la planta,"La planta proporciona a quienes trabajan en ella, instalaciones que cuenten con las siguientes características. - Servicios higiénicos de uso individual o colectivo. - Espacios de protección del sol y la lluvia. - Instalaciones para cambiarse de ropa y las prendas exteriores de protección. - Comedor o casino. - Áreas designadas para el descanso y las pausas.","Inspección visual de servicios higiénicos, espacios de protección para el sol (predio), camarines, comedor o casino y áreas de descanso.",https://ciruelacertificada.cl/?s=A117&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
118,A118,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en la planta,La planta mantiene un registro mensual de la gestión de la seguridad de las personas que trabajan en ella.,Registro actualizado de manera mensual con la siguiente información. - Número mensual diferenciado por sexo. - Número mensual de incidentes y accidentes. - Número mensual de casos con enfermedades profesionales. - Total mensual de días perdidos. - Tasa de accidentabilidad. - Licencias médicas.,https://ciruelacertificada.cl/?s=A118&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
119,A119,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en la planta,"La planta cuenta con un protocolo en caso de emergencia (sismos, incendios, fuga de gases, otros) o accidentes laborales. Los detalles del protocolo están claramente exhibidos en lugares accesibles y visibles.",Señalética con protocolo de emergencias o accidentes que contiene la siguiente información. - Teléfonos y contactos de emergencia. - Medidas básicas de primeros auxilios. - Zonas de seguridad dentro de la planta. - Mapas de ubicación de extintores y botiquines. - Vías de evacuación.,https://ciruelacertificada.cl/?s=A119&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
120,A120,Básico,2,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en la planta,La planta cuenta con una persona encargada del programa de prevención de riesgos (prevencionista de riesgos) o un convenio con una mutual que desarrolle esta labor.,Contrato con profesional prevencionista o convenio con la Mutual de seguridad.,https://ciruelacertificada.cl/?s=A120&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
121,A121,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en la planta,La planta implementa un programa de gestión de riesgos para quienes trabajan en ella.,Documento con el programa de prevención de riesgos que contemple los siguientes aspectos: * Identificación y evaluación de riesgos. * Medidas preventivas y de protección. * Vigilancia de la salud. * Investigación de accidentes e incidentes.,https://ciruelacertificada.cl/?s=A121&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
122,A122,Avanzado,4,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en la planta,"La planta somete a exámenes médicos, al menos una vez al año, a quienes trabajan en ella y que normalmente estén expuestos a labores que puedan generar un riesgo para su salud (ruido, sustancias tóxicas, entre otros) y entrega los resultados a cada uno.","Registro de que las personas que manejan productos agroquímicos, cuentan con exámenes médicos vigentes (al menos de un año). Por ejemplo: ruido, oído medio, control de sangre preventivo, examen general, examen de colinesterasa, etc. (mutual).",https://ciruelacertificada.cl/?s=A122&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
123,A123,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Velar por el bienestar social y laboral de las personas que trabajan en la planta,"La planta no discrimina por raza, color, religión, género, nacionalidad, tendencia política, etc.",Documento con el reglamento interno de la planta.,https://ciruelacertificada.cl/?s=A123&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
124,A124,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Velar por el bienestar social y laboral de las personas que trabajan en la planta,"La planta capacita a quienes trabajan en ella sobre cómo desempeñar las labores asociadas a su trabajo, buscando la eficiencia en su desempeño.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A124&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
125,A125,Avanzado,4,Social,Condiciones de Trabajo y Protección Social,Velar por el bienestar social y laboral de las personas que trabajan en la planta,La planta cuenta con un programa para promover estilos de vida saludables y prevenir dependencias a drogas y alcohol.,"Portafolio de evidencia que respalde la existencia del programa con listado de potenciales instituciones u organizaciones de apoyo, públicas o privadas.",https://ciruelacertificada.cl/?s=A125&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
126,A126,Básico,2,Social,Condiciones de Trabajo y Protección Social,Respetar los derechos laborales de las personas que trabajan en la planta,"La planta se asegura de que las personas que trabajan en ella, conozcan sus derechos y obligaciones, relacionados con la situación contractual con la empresa y las leyes laborales vigentes.","Son válidos alguno de los siguientes documentos: * Registro de información entregada a través de correos electrónicos, folletos, publicaciones en diarios murales y/o registros de capacitaciones asociadas al tema. * Registro de entrega del Reglamento interno. * Registro de inducciones o documento con instrucciones respecto al puesto de trabajo.",https://ciruelacertificada.cl/?s=A126&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
127,A127,Básico,2,Social,Condiciones de Trabajo y Protección Social,Respetar los derechos laborales de las personas que trabajan en la planta,La planta respeta y adhiere a las leyes aplicables a los derechos laborales de las personas que trabajan en ella.,"Documentación con contratos de trabajo, finiquitos, registro de asistencia y pago de leyes sociales que indiquen lo siguiente. - No supera el máximo de horas diarias y semanales permitidas. - No supera el máximo de horas extras permitidas. - Provee de pausas diarias para el almuerzo y el descanso. - Otorga tiempo libre pagado por vacaciones y licencia por enfermedad. - Posibilita la desvinculación voluntaria en casos específicos. - Emplea prácticas de pago transparentes y justas.",https://ciruelacertificada.cl/?s=A127&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
128,A128,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Respetar los derechos laborales de las personas que trabajan en la planta,"La planta promueve la equidad de género en su política de contrataciones, evidenciando que no existe solicitud específica de género en sus ofertas laborales.",Son válidos alguno de los siguientes documentos: * Política o procedimientos de contratación de la planta. * Registro de ofertas laborales del último año en las que se evidencie que no se solicita que la persona pertenezca a un género en específico.,https://ciruelacertificada.cl/?s=A128&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
129,A129,Fundamental,5,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional","La planta identifica las legislaciones relacionadas con las obligaciones prioritarias para la empresa, a través de una matriz de riesgos.","Se requiere matriz con listado de normativas aplicables para la planta que incluya la siguiente información: * Tipo de documento (ley, resolución, decreto, norma, etc.) y entidad o Ministerio. * Identificación de normativas prioritarias. * Acciones requeridas para verificar y asegurar su cumplimiento. Adicionalmente, se debe mantener al menos una copia de las normativas prioritarias, ya sea como documento impreso y/o registro digital.",https://ciruelacertificada.cl/?s=A129&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
130,A130,Fundamental,5,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",Los personas que trabajan en la planta han sido capacitadas y conocen la legislación aplicable a sus labores.,"Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=A130&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
131,A131,Básico,2,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",La planta guarda los registros que acrediten el cumplimiento de las diferentes legislaciones o certificaciones durante un plazo de al menos 5 años.,Inspección visual de documentos de registro archivados o documentos digitales almacenados.,https://ciruelacertificada.cl/?s=A131&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
132,A132,Básico,2,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional","La planta demuestra un título o contrato de uso de tierra claro en conformidad con las prácticas, uso de suelo y legislaciones nacionales.",Son válidos los siguientes documentos de validación. * Escritura de propiedad que verifique el uso de suelo. * Copia de instrumentos de ordenamiento territorial que verifiquen uso de suelo.,https://ciruelacertificada.cl/?s=A132&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
133,A133,Básico,2,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",La planta posee Derechos de Aprovechamiento de Aguas inscritos en conformidad con las legislaciones nacionales.,Son válidos los siguientes documentos de validación. * Registro en el Conservador de Bienes Raíces (CBR). * Catastro Público de Aguas de la DGA.,https://ciruelacertificada.cl/?s=A133&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
134,A134,Avanzado,4,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",La planta mantiene un diálogo permanente con las instituciones asociadas a las entidades legisladoras a nivel territorial o regional.,Son válidos los siguientes documentos: * Actas de reuniones realizadas a través de la Ley de Lobby. * Actas de reuniones con entidades legisladoras a la empresa.,https://ciruelacertificada.cl/?s=A134&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
135,A135,Avanzado,4,Ética,Debida diligencia de la Legislación,"Asegurar la debida diligencia de todas las leyes, reglamentaciones, certificaciones aplicables para la industria, tanto a nivel nacional como de los mercados de destino a nivel internacional",Las empresas realizan un autodiagnóstico de conducta empresarial responsable y debida diligencia en derechos humanos.,Autodiagnóstico con alguna de las herramientas de autoevaluación de debida diligencia de derechos humanos.,https://ciruelacertificada.cl/?s=A135&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
