N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link
102,P102,Intermedio,3,Calidad,Gestión de la Inocuidad,"Asegurar la inocuidad de los insumos, espacios, equipos e indumentarias requeridas para la producción","El predio se asegura de que los insumos aplicados en las labores productivas, no representen un riesgo para la inocuidad alimentaria, utilizando productos autorizados para las ciruelas y respetando los periodos de carencia.",Registro actualizado de aplicaciones con la siguiente información:  * Fecha y hora.  * Sector o cuartel.  * Nombre del producto.  * Ingrediente activo.  * Dosis.  * Dosis recomendada por fabricante.  * Método de aplicación.  * Objetivo de la aplicación.  * Período de carencia y de reingreso.  * Responsable.,https://ciruelacertificada.cl/?s=P102&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
103,P103,Fundamental,5,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,El predio identifica los principales puntos críticos de su producción y busca mejoras para aumentar su productividad.,Documento de identificación de puntos críticos dentro de la producción.,https://ciruelacertificada.cl/?s=P103&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
104,P104,Fundamental,5,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,"El predio cuenta con un plan de gestión de productividad y rentabilidad, que le permite definir indicadores de gestión y asegurar su viabilidad a largo plazo.",Documento de planificación que contenga los siguientes puntos:  - Presupuesto.  - Proyecciones de ventas.  - Organigrama y descripción de cargos dentro de la empresa.,https://ciruelacertificada.cl/?s=P104&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
105,P105,Fundamental,5,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,En el predio se evalúa la adopción de nuevas prácticas y tecnologías considerando su contribución a la productividad y/o rentabilidad.,"Registro de visitas de asesores/as o registro de visitas a ferias tecnológicas o cotizaciones de tecnologías o servicios. El registro deberá tener como máximo 1 año de antigüedad.  Adicionalmente, se requiere un listado con las inversiones implementadas, indicando la temática a la que corresponde (agua, energía, residuos, etc.).",https://ciruelacertificada.cl/?s=P105&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
106,P106,Intermedio,3,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,"El predio cuenta con un sistema de gestión contable, que considera registros de inventario, control de gastos, ingresos y utilidades derivadas del proceso productivo.",Documentos de registro de los siguientes aspectos:  - Inventario de productos entrantes y salientes.  - Registro contable de la empresa.,https://ciruelacertificada.cl/?s=P106&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
107,P107,Avanzado,4,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,"El predio cuenta con una herramienta de gestión digital, que facilita la implementación de medidas y registros.",Registro de licencia o suscripción a plataforma digital específica para la gestión agrícola.,https://ciruelacertificada.cl/?s=P107&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
108,P108,Avanzado,4,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,El predio cuenta con una persona encargada o una persona que realiza asesoría financiera.,Son válidos alguno de los siguientes documentos:  * Contrato de servicios de una persona que realiza asesorías financieras.  * Descripción de cargos y CV de la persona encargada del área financiera.,https://ciruelacertificada.cl/?s=P108&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
109,P109,Avanzado,4,Gestión,Viabilidad Económica,Mejorar la productividad y rentabilidad del predio,"El predio forma parte de una ""comunidad de práctica"", que le permite realizar una evaluación de cambio tecnológico, en conjunto con otras empresas de la industria a nivel territorial.",Actas de reuniones realizadas con la “comunidad de práctica”.,https://ciruelacertificada.cl/?s=P109&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
110,P110,Intermedio,3,Gestión,Viabilidad Económica,Gestionar el predio para garantizar su viabilidad económica y financiera,"Quienes trabajan como directivos o son tomadores de decisiones, participan en instancias de capacitación que les permite entender de mejor manera, el comportamiento del mercado de ciruelas deshidratadas.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=P110&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
111,P111,Avanzado,4,Gestión,Viabilidad Económica,Gestionar el predio para garantizar su viabilidad económica y financiera,"El predio desarrolla una visión empresarial y planifica y decide, en base a información robusta de índole económica y financiera.","Registro de planificación estratégica con una vigencia de máximo 5 años, que contenga la siguiente información:  - Diagnóstico que incorpore un FODA.  - Plan de implementación en base a los resultados del FODA, (ventajas competitivas para potenciar fortalezas, evitar debilidades y enfrentar amenazas).",https://ciruelacertificada.cl/?s=P111&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
112,P112,Intermedio,3,Gestión,Viabilidad Económica,"Fomentar que las personas que trabajan en el predio, tengan acceso a la información de productividad y mercado","El predio capacita a su personal sobre estrategias de aumento de la productividad, para que puedan identificar los puntos críticos del proceso y conozcan las herramientas de optimización de la producción.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P112&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
113,P113,Avanzado,4,Gestión,Viabilidad Económica,"Fomentar que las personas que trabajan en el predio, tengan acceso a la información de productividad y mercado","El predio capacita sus directivos y tomadores de decisiones en finanzas, costos de producción y gestión del negocio agrícola.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=P113&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
114,P114,Intermedio,3,Social,Comunidades Locales,Evaluar el impacto generado en las comunidades locales,"El predio identifica los potenciales impactos, positivos o negativos, generados en las comunidades vecinas.","Matriz de mapeo de actores con la identificación de los impactos generados con la siguiente información:  • Nombre de la organización/institución, actor  • Representante o contraparte  • Cargo  • Contacto  • Categoría de actor (empresa, comercio, residentes, servicios locales, etc.).  • Ubicación geográfica en el territorio  • Relaciones predominantes con la empresa  • Nivel de afectación (positiva y negativa) de las operaciones de la empresa.",https://ciruelacertificada.cl/?s=P114&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
115,P115,Avanzado,4,Social,Comunidades Locales,Evaluar el impacto generado en las comunidades locales,El predio aplica medidas de mitigación para los impactos generados.,"Matriz con las medidas de mitigación de los impactos generados que dé cuenta de la siguiente información:  • Efecto  • Acción  • Objetivo (fortalecer, prevenir, mitigar)  • Resultado esperado",https://ciruelacertificada.cl/?s=P115&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
116,P116,Avanzado,4,Social,Comunidades Locales,Contribuir al desarrollo local,"El predio apoya con aportes pecuniarios y no pecuniarios, proyectos o iniciativas que abordan las necesidades y prioridades de la comunidad, con el fin de mejorar la calidad de vida de sus habitantes en temas como: educación, salud, capacitación, saneamiento, problemas ambientales, deporte, infraestructura comunitaria o pública, con acciones de RES u otras.","Son válidos cualquiera de los documentos que se proponen a continuación.  - Portafolio de evidencia de las actividades realizadas, ej. proyectos realizados, imágenes, registros de convenios, canales de comunicación, minutas.  - Documentos que evidencien el tipo de iniciativa, la fecha, la ubicación, los montos y/o las horas profesionales invertidas.",https://ciruelacertificada.cl/?s=P116&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
117,P117,Fundamental,5,Social,Comunidades Locales,Contribuir a la economía local,"El predio contribuye a la economía local, comprando los bienes y servicios, que no son claves para la producción, a personas o empresas locales a nivel provincial. Por ejemplo: materiales de oficina, productos de aseo, alimentación, vestimenta, etc.",Son válidos algunos de los siguientes documentos:  - Registro de documento tributario que acredite compras a empresas locales.  - Existencia de contratos de compra con proveedores locales.,https://ciruelacertificada.cl/?s=P117&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
118,P118,Básico,2,Social,Comunidades Locales,Contribuir a la economía local,"El predio promueve la contratación de personas, mediante la difusión de ofertas laborales a los habitantes de la misma provincia, ya sea trabajo temporal o permanente.",Son válidos algunos de los siguientes documentos:  - Registro de contratos laborales.  - Registro de ofertas laborales en la OMIL local.,https://ciruelacertificada.cl/?s=P118&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
119,P119,Avanzado,4,Social,Comunidades Locales,Contribuir a la economía local,"El predio cuenta con, al menos, un 90% del personal contratado (de manera permanente) de la misma provincia.",Registro de contratos identificando a personas de la provincia.,https://ciruelacertificada.cl/?s=P119&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
120,P120,Fundamental,5,Social,Comunidades Locales,Mantener un sistema de comunicación efectivo con la comunidad,"El predio cuenta con canales de comunicación efectivos para informar a las comunidades locales, sobre la faena que podría impactar positiva o negativamente en el entorno o territorio, y otras actividades que se quieran comunicar.","Portafolio que registre los canales de comunicación con la comunidad, por ejemplo: acta de reuniones con la JJVV, anuncios en radios locales, publicaciones en el diario mural de la junta de vecinos, mensajes de WhatsApp, etc.",https://ciruelacertificada.cl/?s=P120&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
121,P121,Intermedio,3,Social,Comunidades Locales,Mantener un sistema de comunicación efectivo con la comunidad,"El predio dispone de un mecanismo de gestión de reclamos y sugerencias, a disposición de las comunidades locales, y además, mantiene un registro de las mismas y de cómo se han abordado.","Registros del libro de reclamos y sugerencias, además de las soluciones implementadas:  * Nombre  * Fecha  * Correo electrónico  * Teléfono  * Reclamo o sugerencia  * Encargado de gestionar  * Resolución.  * Fecha resolución",https://ciruelacertificada.cl/?s=P121&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
122,P122,Avanzado,4,Social,Comunidades Locales,Mantener un sistema de comunicación efectivo con la comunidad,"El predio cuenta con una persona responsable de coordinar, planificar y ejecutar proyectos de relacionamiento comunitario.","Son válidos alguno de los siguientes documentos:  - Identificación de la persona encargada o responsable, a través del organigrama o la descripción de cargos.  - Convenio con la institución que realiza los trabajos comunitarios.",https://ciruelacertificada.cl/?s=P122&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
123,P123,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Disponer de instalaciones adecuadas y seguras para las personas que trabajan en el predio,"El predio provee a quienes trabajan en él, acceso a agua potable suficiente y segura, destinada al consumo humano.",Inspección visual de las instalaciones o dispositivos dispensadores de agua potable.,https://ciruelacertificada.cl/?s=P123&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
124,P124,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Disponer de instalaciones adecuadas y seguras para las personas que trabajan en el predio,"El predio proporciona a quienes trabajan en él, instalaciones que cuenten con las siguientes características.  - Servicios higiénicos de uso individual o colectivo.  - Espacios de protección del sol y la lluvia.  - Instalaciones para cambiarse de ropa y las prendas exteriores de protección.  - Comedor o casino.  - Áreas designadas para el descanso y las pausas.","Inspección visual de los servicios higiénicos, espacios de protección para el sol, camarines, comedor o casino y áreas de descanso.  En el caso de empresas de menor tamaño (AFC) que subcontraten los servicios durante la temporada, estas deben entregar todos los registros antes mencionados.",https://ciruelacertificada.cl/?s=P124&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
125,P125,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Disponer de instalaciones adecuadas y seguras para las personas que trabajan en el predio,"El predio se asegura de que las personas y familias que viven de manera permanente o temporal en sus dependencias, cuenten con alojamiento seguro y limpio.","Inspección visual de alojamientos que cuenten como mínimo, con agua, electricidad, instalaciones sanitarias, ventilación, pisos secos y lavables, temperaturas adecuadas y control de plagas.",https://ciruelacertificada.cl/?s=P125&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
126,P126,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,El predio mantiene un registro mensual de la gestión de la seguridad de las personas que trabajan en él.,"Registro actualizado de manera mensual con al menos, la siguiente información.  * Número mensual diferenciado por sexo.  * Número mensual de incidentes y accidentes.  * Número mensual de casos con enfermedades profesionales.  * Total mensual de días perdidos.  * Tasa de accidentabilidad.  * Licencias médicas.  En el caso de empresas de menor tamaño (AFC) que subcontraten los servicios durante la temporada, estas deben entregar todos los registros antes mencionados.",https://ciruelacertificada.cl/?s=P126&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
127,P127,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,"El predio cuenta con un protocolo en caso de emergencia (sismos, incendios, fuga de gases, otros) o accidentes laborales. Los detalles del protocolo están claramente exhibidos en lugares accesibles y visibles.",Inspección visual de señalética con protocolo de emergencias o accidentes que contiene la siguiente información.  - Teléfonos y contactos de emergencia.  - Medidas básicas de primeros auxilios.  - Mapas de ubicaciones de extintores y botiquines.  - Vías de evacuación.  - Zonas de seguridad dentro del predio.,https://ciruelacertificada.cl/?s=P127&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
128,P128,Básico,2,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,El predio cuenta con una persona a cargo del programa de prevención de riesgos (prevencionista de riesgos) o un convenio con una mutual que desarrolle esta labor.,Contrato con profesional prevencionista o convenio con la Mutual de seguridad.,https://ciruelacertificada.cl/?s=P128&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
129,P129,Básico,2,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,"En el predio, las tareas peligrosas, incluida la aplicación o manipulación de agroquímicos de alta toxicidad, se llevan a cabo únicamente por personal calificado y personas debidamente capacitadas.","Credencial de aplicadores de plaguicidas capacitados, entregado por el SAG  En el caso de que esta labor la realice una empresa externa, debe existir un respaldo (copia) del certificado del aplicador/a.",https://ciruelacertificada.cl/?s=P129&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
130,P130,Básico,2,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,"El predio proporciona a quienes manipulan sustancias tóxicas, realizan tareas peligrosas o aplican pesticidas, los equipos de protección personal (EPP) correspondientes.",Registro de entrega de EPP firmados y actualizados con la siguiente información:  * Fecha.  * Nombre,https://ciruelacertificada.cl/?s=P130&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
131,P131,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,El predio implementa un programa de gestión de riesgos para quienes trabajan en él.,"Documento con el programa de prevención de riesgos que contemple los siguientes aspectos:  o Identificación y evaluación de riesgos.  o Medidas preventivas y de protección.  o Vigilancia de la salud.  o Investigación de accidentes e incidentes.  En el caso de empresas de menor tamaño (AFC) que subcontraten los servicios durante la temporada, estas deben entregar todos los registros antes mencionados.",https://ciruelacertificada.cl/?s=P131&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
132,P132,Avanzado,4,Social,Condiciones de Trabajo y Protección Social,Velar y garantizar la salud y seguridad de las personas que trabajan en el predio,"El predio somete a exámenes médicos, al menos una vez al año, a quienes normalmente estén expuestos a labores que puedan generar un riesgo para su salud (ruido, sustancias tóxicas, entre otros) y entrega los resultados a cada uno.","Registro de que las personas que manejan productos agroquímicos, cuentan con exámenes médicos vigentes (al menos un año). Por ejemplo: control de sangre preventivo, examen de colinesterasa, examen general (mutual).  En el caso de empresas de menor tamaño (AFC) que subcontraten los servicios durante la temporada, estas deben entregar todos los registros antes mencionados.",https://ciruelacertificada.cl/?s=P132&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
133,P133,Fundamental,5,Social,Condiciones de Trabajo y Protección Social,Velar por el bienestar social y laboral de las personas que trabajan en el predio,"El predio no discrimina por raza, color, religión, género, nacionalidad, tendencia política, etc.",Documento con el Reglamento interno de la planta.  Lista de trabajadores/as identificados por sexo.,https://ciruelacertificada.cl/?s=P133&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
134,P134,Intermedio,3,Social,Condiciones de Trabajo y Protección Social,Velar por el bienestar social y laboral de las personas que trabajan en el predio,"El predio capacita a su personal sobre cómo desempeñar las labores asociadas a su trabajo, buscando la eficiencia en su desempeño.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P134&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
135,P135,Avanzado,4,Social,Condiciones de Trabajo y Protección Social,Velar por el bienestar social y laboral de las personas que trabajan en el predio,El predio cuenta con un programa para promover estilos de vida saludables y prevenir dependencias a drogas y alcohol.,"Portafolio de evidencia que respalde la existencia del programa con listado de potenciales instituciones u organizaciones de apoyo, públicas o privadas.",https://ciruelacertificada.cl/?s=P135&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
